graphname,vertices,edges,MDG,reverseMDG,bestBRKGA,avgBRKGA,BRKGAtime,bestBRKGArev,avgBRKGArev,bestfastBRKGA,avgfastBRKGA,fastBRKGAtime,bestfastBRKGArev,avgfastBRKGArev,bestMMAS,avgMMAS,bestMMASlearn,avgMMASlearn
Dolphins,62,159,8,7,6,6.0,0.01,6,6.0,6,6.0,0.01,6,6.0,6,6.0,6,6.0
Football,115,613,31,28,22,23.4,10.2,22,23.4,22,23.5,21.3,22,23.5,23,23.0,22,23.0
Karate,34,78,3,3,3,3.0,0.01,3,3.0,3,3.0,0.01,3,3.0,3,3.0,3,3.0
Jazz,198,2742,29,24,20,21.1,12.3,20,21.1,20,21.1,5.8,20,21.1,20,20.0,20,20.0
CA-AstroPh,18772,198050,1638,1381,1428,1438.0,162.2,1375,1384.9,1427,1438.4,176.3,1375,1385.6,1405,1412.5,1405,1413.0
CA-GrQc,5242,14484,1031,889,928,930.7,51.3,891,895.7,924,930.6,52.1,892,897.0,898,900.1,897,899.4
CA-HepPh,12008,118489,1524,1257,1343,1347.8,102.9,1280,1286.0,1338,1349.2,84.9,1278,1285.7,1289,1297.2,1289,1298.4
CA-HepTh,9877,25973,1388,1154,1234,1242.4,88.2,1155,1160.2,1237,1242.4,82.3,1157,1160.6,1179,1186.2,1182,1189.2
CA-CondMat,23133,93439,2933,2326,2563,2592.8,225.8,2350,2360.4,2580,2599.5,226.2,2354,2364.1,2416,2422.3,2419,2428.0
Email-Enron,36692,183831,2882,2676,2670,2679.1,328.9,2635,2643.5,2664,2671.7,334.0,2633,2639.1,2679,2686.0,2692,2699.4
ego-facebook,4039,88234,530,477,466,470.5,51.3,463,464.7,467,473.2,54.9,460,466.7,478,482.8,478,481.9
socfb-Brandeis99,3898,137567,396,356,320,337.4,53.9,320,336.2,321,332.4,56.0,320,331.5,365,369.2,368,370.2
socfb-nips-ego,2888,2981,10,10,10,10.0,0.01,10,10.0,10,10.0,0.01,10,10.0,10,10.0,10,10.0
socfb-Mich67,3748,81903,206,177,166,168.1,26.1,165,168.0,164,167.9,34.8,164,167.9,177,179.3,177,179.3
soc-gplus,23628,39194,69,61,62,63.0,15.3,61,61.0,62,62.8,44.2,61,61.1,61,61.5,61,61.9
musae_git,37700,289003,196,190,173,178.4,169.4,172,178.1,172,178.3,192.9,171,178.1,202,205.9,199,206.4
loc-gowalla_edges,196591,950327,5701,4780,5450,5465.2,1938.5,4760,4777.2,5436,5464.6,1950.5,4762,4778.9,5180,5195.1,5155,5177.6
gemsec facebook_artist,50515,819090,806,688,648,669.2,457.3,631,649.8,624,671.1,445.9,610,650.6,726,744.7,735,748.4
deezer_HR,54573,498202,2374,1895,2046,2092.1,541.6,1874,1904.5,2057,2096.5,535.3,1873,1892.2,2231,2247.0,2240,2255.9
com-dblp,317080,1049866,37077,29114,36875,36917.0,3059.9,29170,29215.8,36832,36907.8,3065.1,29212,29235.5,32981,33016.9,32364,32397.7
Amazon0302,262111,899792,35594,26618,35579,35567.3,2527.4,26665,26642.0,35576,35563.9,2524.4,26667,26636.4,30291,30334.7,29553,29618.0
Amazon0312,400727,2349869,31134,23529,31051,31075.2,3820.4,23523,23549.6,31045,31068.2,3851.3,23542,23559.4,26280,26317.8,26186,26201.2
Amazon0505,410236,2439437,31829,24115,31763,31778.5,3993.5,24115,24134.6,31751,31776.9,3965.8,24122,24135.0,26945,27000.9,26801,26871.2
Amazon0601,403394,2443408,31456,23759,31393,31412.3,3862.5,23757,23777.1,31390,31403.0,3900.3,23758,23777.6,26665,26708.3,26511,26568.0
